ZipCode,Region,Division,StateFullName,State,StateANSI,CSA Name,CSA Code,MSA_Name,MSAANSI,County,CountyANSI
99210,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99211,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99212,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99213,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99214,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99215,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99216,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99217,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99218,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99219,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99220,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99223,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99224,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99228,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99251,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99252,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99256,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99258,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99260,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99301,West,Pacific,Washington,WA,53,,,Richland-Kennewick-Pasco WA MSA,6740,FRANKLIN,21
99302,West,Pacific,Washington,WA,53,,,Richland-Kennewick-Pasco WA MSA,6740,FRANKLIN,21
99320,West,Pacific,Washington,WA,53,,,Richland-Kennewick-Pasco WA MSA,6740,BENTON,5
99321,West,Pacific,Washington,WA,53,"Moses Lake-Othello, WA",393,,,GRANT,25
99322,West,Pacific,Washington,WA,53,,,,,KLICKITAT,39
